0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.100000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.141421	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.173205	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.200000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.223607	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.244949	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.264575	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.282843	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.300000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.316228	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.331662	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.346410	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.360555	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.374166	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.387298	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.400000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.412311	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.424264	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.435890	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.447214	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.458258	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.469042	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.479583	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.489898	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.500000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.509902	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.519615	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.529150	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.538516	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.547723	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.556776	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.565685	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.574456	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.583095	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.591608	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.600000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.608276	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.616441	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.624500	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.632456	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.640312	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.648074	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.655744	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.663325	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.670820	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.678233	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.685565	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.692820	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.700000	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.707107	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.714143	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.721110	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
0.728011	-nan	-nan	0.000000	-nan	-nan	0.000000	0.000000	0.000000	0.000000	
